Department,Link to Pay Plan,Last Update,Population (2023),County,Shift,Sign-on Bonus,"Entry
0-12 months","1 Year
12-24 months","2 Years
24-36 months","3 Years
36-48 months","4 Years
48-60 months","5 Years
60-72 months","6 Years
72-84 months","7 Years
84-96 months","8 Years
96-108 months","9 Years
108-120 months","10 Years
120-132 months","11 Years
132-144 months","12 Years
144-156 months","13 Years
156-168 months","14 Years
168-180 months","15 Years
180-192 months","16 Years
192-204 months","17 Years
204-216 months","18 Years
216-228 months","19 Years
228-240 months","20 Years
240+ months",5 Year Total,10 Year Total,15 Year Total,20 Year Total,Department,Coordinates
Denton County ESD No. 1,Pay Plan,10-24-2025,"42,000",Denton,,,"$82,131.92","$85,265.70","$88,399.48","$91,533.27","$94,704.32","$97,875.38","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$101,046.42","$539,910.07","$1,045,142.17","$1,550,374.27","$2,055,606.37",Denton County ESD No. 1,"33.10045164369473, -97.16012632061037"
Denton FD,Pay Plan,08-18-2025,"158,349",Denton,24/48,,"$86,022.56","$90,413.44","$94,804.32","$99,197.28","$103,588.16","$103,588.16","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$107,987.36","$577,613.92","$1,117,550.72","$1,657,487.52","$2,197,424.32",Denton FD,"33.21399241100059, -97.12869832921118"
DeSoto FD,Pay Plan,10-23-2025,"55,740",Dallas,24/48,,"$85,207.86","$89,855.95","$94,782.94","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$100,005.52","$569,863.31","$1,069,890.91","$1,569,918.51","$2,069,946.11",DeSoto FD,"32.6046874189553, -96.89182088681258"
DFW Airport DPS,Pay Plan,08-04-2025,"200,000",Dallas,,,"$72,297.00","$78,197.00","$81,320.00","$84,575.00","$87,957.00","$91,479.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$95,136.00","$495,825.00","$971,505.00","$1,447,185.00","$1,922,865.00",DFW Airport DPS,"32.863315119748364, -97.04468290045418"
Duncanville FD,Pay Plan,10-23-2025,"39,203",Dallas,48/96,,"$71,757.00","$73,910.00","$76,127.00","$78,411.00","$86,252.00","$90,565.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$93,177.00","$477,022.00","$942,907.00","$1,408,792.00","$1,874,677.00",Duncanville FD,"32.631090907151204, -96.90790048216049"
Ennis FD,Pay Plan,08-12-2025,"23,686",Ellis,,,"$67,218.00","$71,312.00","$73,451.00","$75,655.00","$77,924.00","$80,262.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$82,670.00","$445,822.00","$859,172.00","$1,272,522.00","$1,685,872.00",Ennis FD,"32.303886013394056, -96.63406698434852"
Euless FD,Pay Plan,10-24-2025,"60,010",Tarrant,,,"$78,677.00","$82,463.00","$87,002.00","$91,177.00","$96,662.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$101,250.00","$537,231.00","$1,043,481.00","$1,549,731.00","$2,055,981.00",Euless FD,"32.84032784011697, -97.09274412838576"
Fairview FD,Pay Plan,08-04-2025,"10,790",Collin,48/96,,"$79,616.99","$82,403.78","$85,286.66","$88,268.54","$91,361.90","$95,555.55","$97,866.50","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$101,291.83","$522,493.42","$1,025,527.24","$1,531,986.39","$2,038,445.54",Fairview FD,"33.13890626413904, -96.640294196338"
Flower Mound FD,Pay Plan,10-23-2025,"79,445",Denton,24/48,,"$81,742.96","$84,195.38","$86,731.32","$89,321.96","$94,751.28","$97,589.96","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$100,511.32","$534,332.86","$1,036,889.46","$1,539,446.06","$2,042,002.66",Flower Mound FD,"33.038251463204794, -97.06377144722556"
Fort Worth FD,Pay Plan,08-04-2025,"978,468",Tarrant,24/48,,"$67,757.00","$71,104.00","$74,661.00","$78,404.00","$84,783.00","$88,999.00","$88,999.00","$88,999.00","$88,999.00","$91,608.00","$91,608.00","$94,190.00","$94,190.00","$94,190.00","$94,190.00","$94,190.00","$94,190.00","$94,190.00","$94,190.00","$94,190.00","$94,190.00","$465,708.00","$915,921.00","$1,386,871.00","$1,857,821.00",Fort Worth FD,"32.676379255781924, -97.3282291201696"
